Tic_Rais_date_time,Ticket_ID,LHO,Site_Class,Criticality,Terminal_ID,State,Address,Location_Type,Call_Mode,Queue_Type,Call_Type,Category,Sub_Category,CD_Make,Created_Date,Created_Time,Ageing,Numerical_Tic_Rais_date_time
17/06/2021 00:53,2184691.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,17/06/2021,0:53:15,6H:24M,44364.03698
17/07/2021 19:53,2285028.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,17/07/2021,19:53:08,17H:10M,44394.82856
17/11/2021 15:31,2595088.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Out,RP Out,RP Out,Hyosung,17/11/2021,15:31:12,1D:1H,44517.64667
18/01/2021 14:11,1286416.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,18/01/2021,14:11:11,0H:24M,44214.5911
18/01/2021 21:27,1288196.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,18/01/2021,21:27:03,14H:34M,44214.89378
18/03/2021 06:23,1671709.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,18/03/2021,6:23:03,9H:10M,44273.26601
18/09/2021 21:33,2463966.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,18/09/2021,21:33:03,6H:20M,44457.89795
18/10/2021 20:57,2536976.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,18/10/2021,20:57:07,0H:42M,44487.873
18/10/2021 21:19,2537002.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,18/10/2021,21:19:07,1D:20H,44487.88828
18/11/2021 16:13,2597159.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,18/11/2021,16:13:17,1H:12M,44518.67589
19/01/2021 19:01,1293740.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,19/01/2021,19:01:03,15H:46M,44215.7924
19/09/2021 00:53,2464208.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,19/09/2021,0:53:11,1H:44M,44458.03693
20/01/2021 18:29,1299865.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Hardware Fatal,ATM Hardware,RP Fatal,Hyosung,20/01/2021,18:29:02,19H:34M,44216.77016
20/02/2021 13:33,1511325.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,20/02/2021,13:33:04,23H:46M,44247.56463
20/03/2021 07:53,1690743.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,Bank Related,Bank Access Issue,Hyosung,20/03/2021,7:53:04,2D:2H,44275.32852
20/06/2021 10:33,2195803.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,20/06/2021,10:33:05,14H:22M,44367.43964
21/01/2021 21:39,1305319.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,21/01/2021,21:39:03,0H:20M,44217.90212
21/02/2021 13:11,1514115.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/02/2021,13:11:01,21H:0M,44248.54932
21/06/2021 00:53,2196476.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/06/2021,0:53:05,16H:20M,44368.03686
21/08/2021 14:43,2387525.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,21/08/2021,14:43:07,8H:50M,44429.61328
21/08/2021 23:53,2388615.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,21/08/2021,23:53:06,2D:11H,44429.99521
22/02/2021 12:21,1516667.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,22/02/2021,12:21:02,0H:50M,44249.51461
22/02/2021 18:13,1522759.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,22/02/2021,18:13:02,2H:2M,44249.75905
22/03/2021 21:53,1702164.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,22/03/2021,21:53:02,12H:0M,44277.91183
22/11/2021 20:05,2603958.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Out,RP Out,RP Out,Hyosung,22/11/2021,20:05:05,5H:58M,44522.83686
23/03/2021 10:21,1703673.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,SLM,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,23/03/2021,10:21:26,44D:1H,44278.43155
23/06/2021 19:13,2211816.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,23/06/2021,19:13:10,11H:42M,44370.80081
24/03/2021 06:00,1712226.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Direct,Chronic-SLM,Chronic Hardware,Chronic Hardware,Chronic Hardware,Hyosung,24/03/2021,6:00:42,10H:5M,44279.25049
24/03/2021 15:51,1714056.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,24/03/2021,15:51:05,0H:14M,44279.66047
24/03/2021 17:53,1714648.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Out,RP Out,RP Out,Hyosung,24/03/2021,17:53:06,1D:20H,44279.74521
24/06/2021 01:53,2212273.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,24/06/2021,1:53:06,5H:2M,44371.07854
24/06/2021 09:15,2212607.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Direct,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,24/06/2021,9:15:33,10H:2M,44371.3858
24/08/2021 10:53,2393069.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Out,RP Out,RP Out,Hyosung,24/08/2021,10:53:07,20H:20M,44432.45355
24/09/2021 19:33,2479364.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,24/09/2021,19:33:02,3D:16H,44463.81461
25/08/2021 07:33,2395369.0,Trivandrum,Platinum,M1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Out,Consumables,RP Out,Hyosung,25/08/2021,7:33:04,1D:8H,44433.31463
25/08/2021 09:13,2395617.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,25/08/2021,9:13:04,4H:31M,44433.38407
26/02/2021 19:11,1547388.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,26/02/2021,19:11:23,278D:22H,44253.79957
26/02/2021 22:33,1548750.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,26/02/2021,22:33:03,278D:19H,44253.93962
26/03/2021 13:41,1727901.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,26/03/2021,13:41:04,1H:6M,44281.57019
26/06/2021 19:13,2223614.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,26/06/2021,19:13:05,17H:40M,44373.80075
26/08/2021 16:13,2399070.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,26/08/2021,16:13:06,7H:20M,44434.67576
26/08/2021 23:33,2399990.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,26/08/2021,23:33:04,11H:35M,44434.9813
27/01/2021 11:33,1332329.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,27/01/2021,11:33:03,22H:6M,44223.48128
27/06/2021 12:53,2224116.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,27/06/2021,12:53:09,24H:0M,44374.53691
28/01/2021 10:01,1337313.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,28/01/2021,10:01:13,24H:32M,44224.41751
28/06/2021 18:53,2228903.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,28/06/2021,18:53:10,7H:42M,44375.78692
28/07/2021 15:22,2322823.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Direct,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,28/07/2021,15:22:55,1D:3H,44405.64091
28/09/2021 12:23,2486614.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,28/09/2021,12:23:04,2H:30M,44467.51602
28/09/2021 18:13,2487965.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,28/09/2021,18:13:03,12H:32M,44467.75906
29/06/2021 08:38,2229813.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Direct,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,29/06/2021,8:38:49,1D:7H,44376.36029
29/09/2021 06:43,2488656.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,29/09/2021,6:43:01,0H:14M,44468.27987
29/09/2021 06:57,2488888.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,29/09/2021,6:57:01,3H:36M,44468.28959
29/09/2021 16:23,2490450.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,29/09/2021,16:23:02,20H:40M,44468.68266
30/01/2021 19:41,1351112.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,30/01/2021,19:41:01,23H:4M,44226.82015
30/03/2021 11:51,1740698.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,30/03/2021,11:51:03,2H:12M,44285.49378
30/09/2021 13:03,2492488.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,30/09/2021,13:03:02,0H:50M,44469.54377
30/10/2021 17:51,2561129.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,ATM Down,ATM Down,Actionable query,Hyosung,30/10/2021,17:51:11,1H:30M,44499.74388
31/01/2021 18:41,1353380.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,31/01/2021,18:41:05,22H:55M,44227.77853
31/03/2021 17:43,1749037.0,Trivandrum,Platinum,L1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,RP Low,Consumables,RP Low,Hyosung,31/03/2021,17:43:22,0H:32M,44286.73845
31/03/2021 17:47,1749556.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,31/03/2021,17:47:12,0H:28M,44286.74111
31/07/2021 20:53,2331325.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,Dispenser Error,ATM Hardware,Dispenser Problem,Hyosung,31/07/2021,20:53:15,1D:19H,44408.87031
31/07/2021 22:33,2331433.0,Trivandrum,Platinum,H1,S5NE070106621,Kerala,KACHERIL BUILDINGS,Semi Urban,Auto Dispatched,Monitoring,BNA H/W Error,ATM Hardware,BNA Error,Hyosung,31/07/2021,22:33:09,1D:17H,44408.93969
